[ 1] armor                 Mana:  40, Cl:  2, Mu:  5, Dr:  4
[81] fireshield            Mana: 350, Cl: 45, Mu: 40, Dr: 48
[82] charm monster         Mana:  80, Cl: 51, Mu: 10, Dr: 12
[83] cure serious          Mana:  40, Cl:  7, Mu: 51, Dr:  8
[84] cause serious         Mana:  30, Cl:  7, Mu: 51, Dr:  8
[85] refresh               Mana:  20, Cl:  3, Mu:  6, Dr:  4
[86] second wind           Mana:  40, Cl:  9, Mu: 20, Dr: 14
[87] turn                  Mana:  20, Cl:  1, Mu: 51, Dr: 12
[88] succor                Mana: 300, Cl: 23, Mu: 24, Dr: 51
[89] create light          Mana:  30, Cl:  2, Mu:  1, Dr:  3
[90] continual light       Mana:  60, Cl: 26, Mu: 10, Dr: 16
[91] calm                  Mana:  50, Cl:  2, Mu:  4, Dr: 51
[92] stone skin            Mana: 200, Cl: 51, Mu: 26, Dr: 51
[93] conjure elemental     Mana: 100, Cl: 13, Mu: 16, Dr: 11
[94] true sight            Mana:  40, Cl: 19, Mu: 51, Dr: 24
[95] minor creation        Mana:  30, Cl: 51, Mu:  8, Dr: 51
[96] faerie fire           Mana:  30, Cl:  4, Mu:  5, Dr:  1
[97] faerie fog            Mana:  50, Cl: 11, Mu: 16, Dr: 10
[98] cacaodemon            Mana: 100, Cl: 29, Mu: 30, Dr: 51
[99] polymorph self        Mana: 100, Cl: 51, Mu:  9, Dr: 51
[100] mana                  Mana: 200, Cl: 61, Mu: 61, Dr: 61
[101] astral walk           Mana:  60, Cl: 15, Mu: 15, Dr: 51
[102] resurrection          Mana: 300, Cl: 36, Mu: 51, Dr: 51
[103] heroes feast          Mana:  80, Cl: 24, Mu: 51, Dr: 51
[104] group fly             Mana:  60, Cl: 51, Mu: 24, Dr: 22
[105] breath                Mana: 200, Cl: 61, Mu: 61, Dr: 61
[106] web                   Mana:  50, Cl: 51, Mu: 11, Dr: 51
[107] minor track           Mana:  60, Cl: 51, Mu: 12, Dr:  7
[108] major track           Mana: 100, Cl: 51, Mu: 20, Dr: 17
[109] golem                 Mana: 300, Cl: 15, Mu: 51, Dr: 51
[110] find familiar         Mana: 100, Cl: 51, Mu:  2, Dr: 51
[111] changestaff           Mana: 200, Cl: 51, Mu: 51, Dr: 30
[112] holy word             Mana: 300, Cl: 31, Mu: 51, Dr: 51
[113] unholy word           Mana: 300, Cl: 31, Mu: 51, Dr: 51
[114] power word kill       Mana: 300, Cl: 51, Mu: 40, Dr: 51
[115] power word blind      Mana: 200, Cl: 51, Mu: 16, Dr: 51
[116] chain lightning       Mana: 150, Cl: 51, Mu: 25, Dr: 25
[117] scare                 Mana:  20, Cl: 51, Mu:  4, Dr: 51
[118] aid                   Mana:  20, Cl:  4, Mu: 51, Dr: 51
[119] command               Mana:  30, Cl:  1, Mu: 51, Dr: 51
[120] change form           Mana: 100, Cl: 51, Mu: 51, Dr: 12
[121] feeblemind            Mana:  80, Cl: 51, Mu: 34, Dr: 51
[122] shillelagh            Mana:  50, Cl: 51, Mu: 51, Dr:  3
[123] goodberry             Mana:  40, Cl: 51, Mu: 51, Dr:  4
[124] flame blade           Mana:  50, Cl: 51, Mu: 51, Dr:  7
[125] animal growth         Mana:  60, Cl: 51, Mu: 51, Dr: 35
[126] insect growth         Mana:  60, Cl: 51, Mu: 51, Dr: 33
[127] creeping death        Mana: 300, Cl: 51, Mu: 51, Dr: 45
[128] commune               Mana:  50, Cl: 51, Mu: 51, Dr: 20
[129] animal summon one     Mana: 150, Cl: 51, Mu: 51, Dr: 15
[130] animal summon two     Mana: 200, Cl: 51, Mu: 51, Dr: 20
[131] animal summon three   Mana: 250, Cl: 51, Mu: 51, Dr: 25
[132] fire servant          Mana: 300, Cl: 51, Mu: 51, Dr: 35
[133] earth servant         Mana: 300, Cl: 51, Mu: 51, Dr: 36
[134] water servant         Mana: 300, Cl: 51, Mu: 51, Dr: 37
[135] wind servant          Mana: 300, Cl: 51, Mu: 51, Dr: 38
[136] reincarnate           Mana: 300, Cl: 51, Mu: 51, Dr: 39
[137] charm vegatable       Mana:  80, Cl: 51, Mu: 51, Dr: 17
[138] vegetable growth      Mana:  60, Cl: 51, Mu: 51, Dr: 20
[139] tree                  Mana: 100, Cl: 51, Mu: 51, Dr: 15
[140] animate rock          Mana: 100, Cl: 51, Mu: 51, Dr: 31
[141] tree travel           Mana:  40, Cl: 51, Mu: 51, Dr:  8
[142] travelling            Mana:  30, Cl: 51, Mu: 51, Dr: 10
[143] animal friendship     Mana:  50, Cl: 51, Mu: 51, Dr:  5
[144] invis to animals      Mana:  30, Cl: 51, Mu: 51, Dr: 11
[145] slow poison           Mana:  30, Cl: 51, Mu: 51, Dr:  6
[146] entangle              Mana:  30, Cl: 51, Mu: 51, Dr: 16
[147] snare                 Mana:  30, Cl: 51, Mu: 51, Dr:  8
[148] gust of wind          Mana:  60, Cl: 51, Mu: 10, Dr: 51
[149] barkskin              Mana:  40, Cl: 51, Mu: 51, Dr:  3
[150] sunray                Mana:  80, Cl: 51, Mu: 51, Dr: 27
[151] warp weapon           Mana:  30, Cl: 51, Mu: 51, Dr: 19
[152] heat stuff            Mana:  40, Cl: 51, Mu: 51, Dr: 23
[153] find traps            Mana:  50, Cl: 51, Mu: 51, Dr: 15
[154] firestorm             Mana: 140, Cl: 51, Mu: 51, Dr: 22
[155] haste                 Mana: 100, Cl: 51, Mu: 23, Dr: 51
[156] slowness              Mana: 100, Cl: 51, Mu: 19, Dr: 51
[157] dust devil            Mana:  50, Cl:  3, Mu: 51, Dr:  1
[158] know monster          Mana:  80, Cl: 51, Mu:  9, Dr: 51
[159] transport via plant   Mana:  80, Cl: 51, Mu: 51, Dr: 10
[160] speak with plants     Mana:  40, Cl: 51, Mu: 51, Dr:  7
[161] silence               Mana:  50, Cl: 23, Mu: 21, Dr: 25
[162] sending               Mana:  10, Cl: 60, Mu:  1, Dr: 60
[163] teleport without error  Mana:  20, Cl: 60, Mu: 60, Dr: 60
[164] portal                Mana: 300, Cl: 60, Mu: 43, Dr: 60
[165] dragon ride           Mana: 100, Cl: 30, Mu: 30, Dr: 51
[166] mount                 Mana:  60, Cl: 60, Mu:  6, Dr:  6
[167] protection from good  Mana:  30, Cl:  7, Mu: 51, Dr: 51
[168] time stop             Mana: 300, Cl: 51, Mu: 45, Dr: 51
[169] magic susceptibility  Mana:  60, Cl:  1, Mu:  1, Dr: 51
[170] magnify               Mana:  50, Cl: 51, Mu:  1, Dr: 51
[171] restoration           Mana: 300, Cl: 35, Mu: 51, Dr: 51

