15.255.*                Corvallis OR, USA
129.143.*               Stuttgart, Germany
129.161.*               Hartford CT, USA
129.169.*               Cambridge, England
129.170.*               Hanover NH, USA
129.173.*		Halifax NS, Canada
129.174.*               Burke VA, USA
129.177.*               Bergen, Norway
129.179.*               Minneapolis MN, USA
129.186.*               Ames IA, USA
129.187.*               Munich, Germany
129.188.*               Schaumburg IL, USA
129.193.*               Redondo Beach CA, USA
129.206.*               Heidelberg, Germany
129.207.*               Hempstead TX, USA
129.215.*               Edinburgh, Scotland
129.217.*               Dortmund, Germany
129.219.*               Phoenix AZ, USA
129.229.*               Champaign IL, USA
129.234.*               Durham, England
129.237.*               Lawrence KS, USA
129.240.*               Oslo, Norway
129.241.*               Trondheim, Norway
129.242.*               Tromsoe, Norway
129.244.*               Tulsa OK, USA
129.247.*               Goettingen, Germany
129.252.*               Columbia SC, USA
130.15.*		Kingston Ont., Canada
130.17.*                Turlock CA, USA
130.18.*                Starkville MS, USA
130.37.*                Amsterdam, Netherlands
130.38.*                McLean VA, USA
130.39.*                Baton Rouge LA, USA
130.41.*                Melbourne FL, USA
130.49.*                Pittsburgh PA, USA
130.57.*                Sonoma CA, USA
130.60.*                Zurich, Switzerland
130.63.*		Toronto Ont., Canada
130.64.*                Boston MA, USA
130.65.*                San Jose CA, USA
130.66.*                Nantes, France
130.68.*                Montclair NJ, USA
130.70.*                Lafayette LA, USA
130.73.*                Berlin, Germany
130.74.*                <unknown> MS, USA
130.75.*                Hannover, Germany
130.79.*                Strasbourg, France
130.82.*                St. Gallen, Switzerland
130.83.*                Darmstadt, Germany
130.85.*                Baltimore MD, USA
130.86.*                Sacramento CA, USA
130.88.*                Manchester, England
130.89.*                Enschede, Netherlands
130.91.*                Philadelphia PA, USA
130.95.*                Nedlands, Australia
130.101.*		Akron OH, USA
130.102.*               Brisbane, Australia
130.108.*               Dayton OH, USA
130.111.*               Orono ME, USA
130.115.*               Rotterdam, Netherlands
130.127.*               Clemson SC, USA
130.130.*               Sydney, Australia
130.132.*               New Haven CT, USA
130.133.*               Berlin, Germany
130.149.*               Berlin, Germany
130.159.*               Glasgow, Scotland
130.160.*               Tuscaloosa AL, USA
130.161.*               Delft, Netherlands
130.164.*               Nat. Instr. Comp., USA
130.179.*               Winnipeg Man., Canada
130.182.*               Los Angeles CA, USA
130.184.*               Fayetteville AR, USA
130.186.*               Rimini, Italy
130.189.*               Vermont VT, USA
130.191.*               San Diego CA, USA
130.194.*               Melbourne, Australia
130.199.*               Upton NY, USA
130.203.*               Bethlehem PA, USA
130.207.*               Atlanta GA, USA
130.208.*               Reykjavik, Iceland
130.209.*               Glasgow, Scotland
130.212.*               Alameda CA, USA
130.215.*               Worcester MA, USA
130.218.*               Marietta GA, USA
130.221.*               Redondo Beach CA, USA
130.225.16.*            Aarhus, Denmark
130.225.17.*            Aarhus, Denmark
130.225.48.*            Aalborg, Denmark
130.225.87.*            Lungby, Denmark
130.225.96.*            Copenhagen, Denmark
130.225.120.*           Copenhagen, Denmark
130.225.250.*           Hadsten, Denmark
130.225.*               <unknown>, Denmark
130.226.*               Aarhus, Denmark
130.230.*               Tampere, Finland
130.231.*               Oulu, Finland
130.233.*               Helsinki, Finland
130.235.21.*            Lund, Sweden
130.235.23.*            Lund, Sweden
130.235.24.*            Lund, Sweden
130.235.85.*            Lund, Sweden
130.235.88.*            Lund, Sweden
130.235.104.*           Lund, Sweden
130.235.132.*           Lund, Sweden
130.235.139.*           Lund, Sweden
130.235.140.*           Lund, Sweden
130.235.162.*           Lund, Sweden
130.235.189.*           Malm|, Sweden
130.235.190.*           Malm|, Sweden
130.235.208.*           Kalmar, Sweden
130.235.225.*           Ronneby, Sweden
130.235.227.*           Ronneby, Sweden
130.235.228.*           Ronneby, Sweden
130.235.231.*           Karlskrona, Sweden
130.236.*               Link|ping, Sweden
130.237.*               Stockholm, Sweden
130.238.9.*             Uppsala, Sweden
130.238.12.*            Uppsala, Sweden
130.238.13.*            Uppsala, Sweden
130.238.64.*            Uppsala, Sweden
130.238.136.*           Uppsala, Sweden
130.238.137.*           Uppsala, Sweden
130.238.139.*           Uppsala, Sweden
130.238.141.*           Uppsala, Sweden
130.238.149.*           Uppsala, Sweden
130.238.224.*           Uppsala, Sweden
130.238.*               <unknown>, Sweden
130.239.16.*            Ume}, Sweden
130.239.44.*            Umea, Sweden
130.239.136.*           Lule}, Sweden
130.239.216.*           Sundsvall, Sweden
130.239.220.*           Sundsvall, Sweden
130.239.*               <unknown>, Sweden
130.240.2.*             Lule}, Sweden
130.240.16.*            Lule}, Sweden
130.240.*               Oslo, Norway
130.241.39.*            Gothenburg, Sweden
130.241.106.*           Gothenburg, Sweden
130.241.147.*           Gothenburg, Sweden
130.241.175.*           Skara, Sweden
130.241.187.*           Sk|vde, Sweden
130.241.221.*           J|nk|ping, Sweden
130.241.222.*           J|nk|ping, Sweden
130.241.230.*           Karlstad, Sweden
130.241.232.*           Karlstad, Sweden
130.241.240.*           Bor}s, Sweden
130.241.241.*           Bor}s, Sweden
130.241.245.*           Bor}s, Sweden
130.241.246.*           Bor}s, Sweden
130.253.*               Denver CO, USA
130.254.*               Savannah GA, USA
131.16.*                Ramstein, Germany
131.22.*                Biloxi MS, USA
131.38.*                Honolulu HI, USA
131.74.*                Columbus OH, USA
131.93.*                Renssealer IN, USA
131.93.*                Carolina, Puerto Rico
131.95.*                Hattiesburg MS, USA
131.104.*		Guelph Ont., Canada
131.108.*               Mountain View CA, USA
131.111.*               Cambridge, England
131.114.*               Pisa, Italy
131.118.*               Towson MD, USA
131.121.*               Annapolis MD, USA
131.123.*               Kent OH, USA
131.128.*               Kingston RI, USA
131.130.*               Vienna, Austria
131.144.68.83           * known hacker * GA, USA
131.144.*               Cochran GA, USA
131.151.*               Rolla MO, USA
131.155.*               Eindhoven, Netherlands
131.156.*               Dekalb IL, USA
131.159.*               Munich, Germany
131.169.*               Hamburg, Germany
131.171.*               College Park MD, USA
131.172.*               Melbourne, Australia
131.173.*               Osnabrueck, Germany
131.174.*               Nijmegen, Netherlands
131.178.*               Monterrey, Mexico
131.183.*               Toledo OH, USA
131.188.*               Erlangen, Germany
131.194.*               San Antonio TX, USA
131.202.*               Fredericton NB, Canada
131.204.*               Auburn AL, USA
131.210.*               Racine WI, USA
131.211.*               Utrecht, Netherlands
131.212.*               Duluth MN, USA
131.215.*               Pasadena CA, USA
131.220.*               Bonn, Germany
131.225.*               Batavia IL, USA
131.227.*               Guildford, England
131.229.*               Northampton MA, USA
131.230.*               Carbondale IL, USA
131.231.16.44           Loughborough, England
131.231.*               Plymouth, England
131.234.*               Paderborn, Germany
131.236.*               Canberra, Australia
131.238.*               Dayton OH, USA
131.246.*               Kaiserslautern, Germany
131.251.*               Cardiff, Wales
131.252.*               Reaverton OR, USA
132.64.*                Jerusalem, Israel
132.66.36.*             Tel Aviv, Israel
132.67.*                Tel Aviv, Israel
132.68.*                Haifa, Israel
132.70.*                Tel Aviv, Israel
132.72.*                Beer Sheva, Israel
132.156.*		Ottawa Ont., Canada
132.162.*               Oberlin OH, USA
132.170.*               Orlando FL, USA
132.176.*               Hagen, Germany
132.177.*               Durham NH, USA
132.178.*               Boise ID, USA
132.180.*               Bayreuth, Germany
132.187.*               Wuerzburg, Germany
132.194.*               Denver CO, USA
132.195.*               Wuppertal, Germany
132.199.*               Regensburg, Germany
132.204.*               Montreal QC, Canada
132.205.*               Montreal QC, Canada
132.206.*               Montreal QC, Canada
132.207.*               Montreal QC, Canada
132.227.*               Versailles, France
132.229.*               Leiden, Netherlands
132.230.*               Freiburg, Germany
132.231.*               Passau, Germany
132.234.*               Brisbane, Australia
132.235.*               Athens OH, USA
132.236.*               Ithaca NY, USA
132.239.*               San Diego CA, USA
132.241.*               Chica CA, USA
132.252.*               Essen, Germany
133.53.*                Tokai-mura, Japan
134.2.*                 Tuebingen, Germany
134.7.*                 Perth, Australia
134.28.*                Harburg, Germany
134.29.*                Mankato MN, USA
134.30.*                Berlin, Germany
134.32.*                Ferndown, England
134.34.*                Konstanz, Germany
134.36.*                Dundee, Scotland
134.40.*                Dundee, Scotland
134.48.*                Milwaukee WI, USA
134.53.*                Oxford OH, USA
134.58.*                Borlo, Belgium
134.60.*                Ulm, Germany
134.68.*                Indianapolis IN, USA
134.69.*                Los Angeles CA, USA
134.71.*                Alhambra CA, USA
134.76.*                Goettingen, Germany
134.82.*                Lewisburg PA, USA
134.83.*                Lond. Hillgdn., England
134.84.*                Minneapolis MN, USA
134.86.*                Indianapolis IN, USA
134.87.*                Vancouver BC, Canada
134.93.*                Mainz, Germany
134.94.*                Juelich, Germany
134.95.*                Cologne, Germany
134.96.*                Saarbruecken, Germany
134.100.*               Hamburg, Germany
134.102.*               Bremen, Germany
134.103.*               Reutlingen, Germany
134.104.*               Bonn, Germany
134.105.*               Stuttgart, Germany
134.106.*               Oldenburg, Germany
134.109.*               Chemnitz, Germany
134.115.*               Perth, Australia
134.117.*               Ottawa Ont., Canada
134.121.*               Pullman WA, USA
134.124.*               St. Louis MO, USA
134.126.*               Harrisonburg VA, USA
134.129.*               Fargo ND, USA
134.130.*               Aachen, Germany
134.139.*               Long Beach CA, USA
134.147.*               Bochum, Germany
134.148.*               Newcastle, Australia
134.151.*               Aston, England
134.153.*               Mt. Pearl, Canada
134.155.*               Mannheim, Germany
134.161.*               Cedar Falls IA, USA
134.169.*               Braunschweig, Germany
134.173.*               Towson MD, USA
134.176.*               Giessen, Germany
134.181.*               Lewiston ME, USA
134.184.*               Brussels, Belgium
134.190.*               Halifax NS, Canada
134.193.*               Kansas City MO, USA
134.198.*               Scranton PA, USA
134.206.*               Lille, France
134.210.*               Pomona NJ, USA
134.214.*               Lyon, France
134.219.*               London, England
134.220.*               Wolverhampton, England
134.225.*               Reading, England
134.226.*               Dublin, Ireland
134.241.*               Boston MA, USA
134.245.*               Kiel, Germany
134.250.*               Logan UT, USA
136.142.*               Pittsburgh PA, USA
136.145.1.*             San Juan, Puerto Rico
136.145.30.*            Mayaquez, Puerto Rico
136.145.*               <unknown>, Puerto Rico
136.148.*               London, England
136.163.*               Link|ping, Sweden
136.165.*               Louisville KY, USA
136.167.*               Boston MA, USA
136.176.*               Peoria IL, USA
136.183.*               Buffalo NY, USA
136.186.*               Melbourne, Australia
136.199.*               Trier, Germany
136.201.*               Limerick, Ireland
136.204.*               Morrisville NY, USA
136.224.*               Alfred NY, USA
136.227.*               Springfield OH, USA
137.18.*                Washington DC, USA
137.19.*                Columbia MS, USA
137.21.*                Brockport NY, USA
137.22.*                Northfield MN, USA
137.36.*                Cobleskill NY, USA
137.37.*                New York City NY, USA
137.39.*                Hartford CT, USA
137.44.*                Swansea, Wales
137.45.*                Radford VA, USA
137.48.*                Omaha NE, USA
137.49.*                West Hartford CT, USA
137.52.*                Hollywood FL, USA
137.56.*                Tilburg, Netherlands
137.73.*                Lond. Westham, England
137.76.*		Canberra, Australia
137.81.*                Superior WI, USA
137.82.*                Vancouver BC, Canada
137.84.*                Casper WY, USA
137.88.*                Powell WY, USA
137.92.*                Canberra, Australia
137.99.*                Storrs CT, USA
137.104.*               Platteville WI, USA
137.108.*               Maastricht, Netherlands
137.110.*               San Diego CA, USA
137.111.*               Sydney, Australia
137.112.*               Terre Haute IN, USA
137.113.*               Lexington VA, USA
137.120.*               Maastricht, Netherlands
137.123.*               Courtland NY, USA
137.132.*               Singapore, Singapore
137.141.*               Oneonta NY, USA
137.142.*               Plattsburgh NY, USA
137.143.*               Potsdam NY, USA
137.150.*               Arcata CA, USA
137.151.*               Los Angeles CA, USA
137.159.*               Malibu CA, USA
137.165.*               Williamstown MA, USA
137.166.*               Wagga, Australia
137.174.*               Clausthal, Germany
137.189.*               Hong Kong, Hong Kong
137.190.*               Ogden UT, USA
137.195.*               Edinburgh, Scotland
137.204.*               Rimini, Italy
137.205.*               Warwick, England
137.207.*		Windsor Ont., Canada
137.208.3.2             Winston Salem NC, USA
137.208.*               Vienna, Austria
137.215.*               Pretoria, S. Africa
137.222.*               Bristol, England
137.224.*               Wageningen, Netherlands
137.226.*               Aachen, Germany
137.229.*               Fairbanks AK, USA
137.238.*               Geneseo NY, USA
137.248.*               Marburg, Germany
138.5.*                 Brooklyn NY, USA
138.9.*                 Ventura CA, USA
138.23.*                Riverside CA, USA
138.25.*                Sydney, Australia
138.37.*                London, England
138.38.*                Bath, England
138.40.*                London, England
138.47.*                Ruston LA, USA
138.49.*                La Crosse WI, USA
138.63.*                Toulouse, France
138.67.*                Golde CO, USA
138.74.*                Chicago IL, USA
138.80.*                Darwin, Australia
138.86.*                Colorado CA, USA
138.92.*                Buffalo NY, USA
138.95.*                Portland OR, USA
138.100.*               Madrid, Spain
138.110.*               South Hadley MA, USA
138.129.*               Morehead NM, USA
138.143.*               Norfolk VA, USA
138.192.*               St. Paul MN, USA
138.221.*               V{ster}s, Sweden
138.236.*               St. Paul MN, USA
138.251.*               St. Andrews, Scotland
138.253.*               Liverpool, England
139.1.*                 Wolfsburg, Germany
139.6.*                 Cologne, Germany
139.11.10.*             Hamburg, Germany
139.18.*                Leipzig, Germany
139.20.*                Freiburg, Germany
139.30.*                Rostock, Germany
139.78.*                Stillwater OK, USA
139.80.*                Dunedin, New Zealand
139.91.*                Heraklion, Greece
139.94.*                Kingsville TX, USA
139.103.*               Moncton NB, Canada
139.104.*               Glendale CA, USA
139.133.*               Aberdeen, Scotland
139.136.*               King of Prussia PA, USA
139.141.*               Kuwait City, Kuwait
139.147.*               Easton PA, USA
139.174.*               Clausthal, Germany
139.184.*               Sussex, England
139.222.*               Norwich, England
139.225.*               River Falls WI, USA
139.230.*               Perth, Australia
140.77.*                Lyon, France
140.78.140.*            Hagenberg, Austria
140.78.*                Linz, Austria
140.82.56.*             Sunnyvale CA, USA
140.103.*               Wooster OH, USA
140.104.*               Waukesha WI, USA
140.113.*               Lansing MI, USA
140.115.*               Manhattan KS, USA
140.142.*               Seattle WA, USA
140.146.*               Whitewater WI, USA
140.147.*               Washington DC, USA
140.158.*               Beaumont TX, USA
140.159.*               Melbourne, Australia
140.160.*               Bellingham WA, USA
140.184.*               Halifax NS, USA
140.190.*               Winona MN, USA
140.192.*               Chicago IL, USA
140.198.*               Mesa AZ, USA
140.203.9.		Galway, Ireland
140.211.50.*            LaGrande OR, USA
140.211.51.*            LaGrande OR, USA
140.211.52.*            LaGrande OR, USA
140.211.53.*            LaGrande OR, USA
140.211.54.*            LaGrande OR, USA
140.211.55.*            LaGrande OR, USA
140.211.56.*            LaGrande OR, USA
140.211.57.*            LaGrande OR, USA
140.211.58.*            LaGrande OR, USA
140.211.59.*            LaGrande OR, USA
140.211.60.*            LaGrande OR, USA
140.211.61.*            LaGrande OR, USA
140.211.62.*            LaGrande OR, USA
140.211.63.*            LaGrande OR, USA
140.211.64.*            LaGrande OR, USA
140.211.65.*            LaGrande OR, USA
140.211.66.*            LaGrande OR, USA
140.211.67.*            LaGrande OR, USA
140.211.68.*            LaGrande OR, USA
140.211.69.*            LaGrande OR, USA
140.211.70.*            LaGrande OR, USA
140.211.71.*            Klamath Falls OR, USA
140.225.*               St. Paul MN, USA
140.232.*               Spencer MA, USA
140.251.*               Cornell NY, USA
140.252.*               Tucson AZ, USA
141.2.*                 Frankfurt, Germany
141.7.*                 Heilbronn, Germany
141.12.*                Darmstadt, Germany
141.13.*                Bamberg, Germany
141.19.*                Mannheim, Germany
141.20.*                Berlin, Germany
141.21.*                Karlsruhe, Germany
141.23.*                Berlin, Germany
141.24.*                Ilmenau, Germany
141.26.*                Koblenz, Germany
141.28.*                Furtwangen, Germany
141.30.*                Dresden, Germany
141.35.*                Jena, Germany
141.37.*                Konstanz, Germany
141.44.*                Magdeburg, Germany
141.48.*                Halle, Germany
141.52.*                Karlsruhe, Germany
141.55.*                Mittweida, Germany
141.56.*                Dresden, Germany
141.61.*                Martinsreid, Germany
141.64.*                Berlin, Germany
141.70.*                Tuebingen, germany
141.71.*                Hannover, Germany
141.72.*                Mannheim, Germany
141.76.*                Dresden, Germany
141.78.*                Eichstaett, Germany
141.79.*                Offenburg, Germany
141.82.*                Augsburg, Germany
141.99.*                Siegen, Germany
141.132.*               Ballarat, Australia
141.139.*               Philippi WV, USA
141.140.*               Minneapolis MN, USA
141.142.*               Seattle WA, USA
141.163.*               Plymouth, England
141.165.*               Savannah GA, USA
141.166.*               Richmond VA, USA
141.201.*               Salzburg, Austria
141.210.*               Rochester Hills MI, USA
141.211.*               Ann Arbor MI, USA
141.212.*               Ann Arbor MI, USA
141.214.*               Ann Arbor MI, USA
141.215.*               Ann Arbor MI, USA
141.216.*               Flint MI, USA
141.217.*               Dearborn MI, USA
141.218.*               Kalamazoo MI, USA
141.222.*               Saratoga Springs NY, USA
141.225.*               Memphis TN, USA
141.233.*               Fishkosh Okon WI, USA
141.241.*               Lond. Kingston, England
141.249.*               Zurich, Switzerland
142.3.*			Regina Sas., Canada
142.4.*			Ottawa Ont., Canada
142.13.*		Brandon Man., Canada
142.31.*                Vancouver BC, Canada
142.32.*                Vancouver BC, Canada
142.77.*		Toronto Ont., Canada
142.150.*               Vancouver BC, Canada
142.177.*               Halifax NS, Canada
143.43.*                Charleston IL, USA
143.53.*                Bradford, England
143.54.*                Porto Alegre RS, Brazil
143.89.*                Madison WI, USA
143.93.*                Worms, Germany
143.105.*               Cleveland OH, USA
143.106.*               Campinas SP, Brazil
143.117.*               Belfast, N. Ireland
143.166.*               Austin TX, USA
143.167.*               Sheffield, England
143.205.*               Klagenfurt, Austria
143.207.*               Andrews MI, USA
143.210.*               Leicester, England
143.224.*               Graz, Austria
143.226.*               Rock Island IL, USA
143.229.*               Poughkeepsie NY, USA
143.233.*               Athens, Greece
144.5.*                 Houston TX, USA
144.26.*                West Chester PA, USA
144.32.*                York, England
144.35.*                Salt Lake City UT, USA
144.62.*                Cedar Rapids IA, USA
144.80.*                Indiana PA, USA
144.82.*                London, England
144.89.*                Beloit WI, USA
144.90.*                Tucson AZ, USA
144.92.*                Madison WI, USA
144.96.*                Nacogdoches TX, USA
144.124.16.*            Aberystwyth, Wales
144.124.*               Manchester, England
144.126.*               Towson MD, USA
144.167.*               Little Rock AR, USA
144.173.*               Exeter, England
144.174.*               Tallahassee FL, USA
144.175.*               Frederick MD, USA
144.212.*               Natick MA, USA
145.12.*                Wageningen, Netherlands
145.18.*                Amsterdam, Netherlands
145.19.*                Vlissingen, Netherlands
145.24.*                Rotterdam, Netherlands
145.51.*                Rotterdam, Netherlands
146.7.*                 Springfield MO, USA
146.50.*                Amsterdam, Netherlands
146.57.*                Morris MN, USA
146.86.*                Salt Lake City UT, USA
146.87.*                Manchester, England
146.94.*                Wilkes-Barre PA, USA
146.97.*                York, England
146.101.*               Lond. Surbiton, England
146.102.*               Prague, Czech Republic
146.110.*               Budapest, Hungary
146.113.*               Kalamazo MI, USA
146.129.*               Seattle WA, USA
146.169.*               London, England
146.182.*               Bloemfontein, S. Africa
146.186.*               University Park PA, USA
146.201.*               Tallahassee FL, USA
146.229.*               Huntsville AL ,USA
146.230.*               Durban, S. Africa
146.231.*               Grahamstown, S. Africa
146.232.*               Stellenbosch, S. Africa
147.2.*                 Summit NJ, USA
147.26.*                Houston TX, USA
147.27.*                Heraklion, Greece
147.28.*                Tigard OR, USA
147.32.*                Prague, Czech Republic
147.33.2.*              Prague, Czech Republic
147.52.*                Heraklion, Greece
147.53.*                South Bend IN, USA
147.64.*                Edinboro PA, USA
147.96.*                Madrid, Spain
147.97.*                Atlanta GA, USA
147.102.*               Athens, Greece
147.129.*               Ithaca NY, USA
147.134.*               Omaha NE, USA
147.143.*               Bangor, Wales
147.162.*               Padua, Italy
147.172.*               Hildesheim, Germany
147.174.*               Hammond LA, USA
147.175.*               Bratislava, Slovakia
147.188.*               Birmingham, England
147.197.*               Hatfield, England
147.205.*               Oneonta NY, USA
147.210.*               Bordeaux, France
147.226.*               Muncie IN, USA
147.231.*               Prague, Czech Republic
148.4.*                 Southampton NY, USA
148.4.5.*               Brooklyn NY, USA
